Entity,Code,Year, (% of GDP)
North America,,2010,16.45074318
North America,,2011,16.41265282
North America,,2012,16.38440949
North America,,2013,16.2780938
North America,,2014,16.51548075
Norway,NOR,1995,7.71662839
Norway,NOR,1996,7.66637874
Norway,NOR,1997,8.23639913
Norway,NOR,1998,9.07038563
Norway,NOR,1999,9.14228558
Norway,NOR,2000,8.27250866
Norway,NOR,2001,8.64555138
Norway,NOR,2002,9.61619197
Norway,NOR,2003,9.85260059
Norway,NOR,2004,9.44112199
Norway,NOR,2005,8.89402506
Norway,NOR,2006,8.43055064
Norway,NOR,2007,8.58441414
Norway,NOR,2008,8.4020757
Norway,NOR,2009,9.48566447
Norway,NOR,2010,9.2556665
Norway,NOR,2011,9.13551098
Norway,NOR,2012,9.15682812
Norway,NOR,2013,9.39187284
Norway,NOR,2014,9.71971755
OECD members,,1995,9.207252752
OECD members,,1996,9.311960361
OECD members,,1997,9.424517616
OECD members,,1998,9.617256018
OECD members,,1999,9.706250271
OECD members,,2000,9.804177445
OECD members,,2001,10.30299512
OECD members,,2002,10.72366121
OECD members,,2003,10.91624279
OECD members,,2004,10.870496
OECD members,,2005,10.96750897
OECD members,,2006,11.00740065
OECD members,,2007,11.00402938
OECD members,,2008,11.26648822
OECD members,,2009,12.22071238
OECD members,,2010,12.10589831
OECD members,,2011,12.05899569
OECD members,,2012,12.18896617
OECD members,,2013,12.20615731
OECD members,,2014,12.32153999
Oman,OMN,1995,3.64642839
Oman,OMN,1996,3.55728518
Oman,OMN,1997,3.35538558
Oman,OMN,1998,3.70112429
Oman,OMN,1999,3.54359148
Oman,OMN,2000,3.07275935
Oman,OMN,2001,3.08303075
Oman,OMN,2002,3.18048539
Oman,OMN,2003,3.17288586
Oman,OMN,2004,2.97575695
Oman,OMN,2005,2.58713523
Oman,OMN,2006,2.31084657
Oman,OMN,2007,2.42579068
Oman,OMN,2008,2.01221452
Oman,OMN,2009,2.83003846
Oman,OMN,2010,2.74408324
Oman,OMN,2011,2.49265722
Oman,OMN,2012,2.523264
Oman,OMN,2013,2.76083902
Oman,OMN,2014,3.55393969
Other small states,,1995,4.87332316
Other small states,,1996,5.015734592
Other small states,,1997,4.93178677
Other small states,,1998,5.269080271
Other small states,,1999,5.11496981
Other small states,,2000,4.659353499
Other small states,,2001,4.784011111
Other small states,,2002,5.039957828
Other small states,,2003,5.385802031
Other small states,,2004,5.165746744
Other small states,,2005,4.834920087
Other small states,,2006,4.474974191
Other small states,,2007,4.284209201
Other small states,,2008,4.018467262
Other small states,,2009,4.859077552
Other small states,,2010,4.306943483
Other small states,,2011,3.99807819
Other small states,,2012,4.139103839
Other small states,,2013,4.192443767
Other small states,,2014,4.232032482
Pacific island small states,,1995,4.865629185
Pacific island small states,,1996,4.399357082
Pacific island small states,,1997,4.58974346
Pacific island small states,,1998,4.573707235
Pacific island small states,,1999,4.602465867
Pacific island small states,,2000,5.303749062
Pacific island small states,,2001,5.267380964
Pacific island small states,,2002,5.135643372
Pacific island small states,,2003,5.02336532
Pacific island small states,,2004,5.076860185
Pacific island small states,,2005,5.316483381
Pacific island small states,,2006,5.412779845
Pacific island small states,,2007,5.456245152
Pacific island small states,,2008,5.253128975
Pacific island small states,,2009,5.959075422
Pacific island small states,,2010,6.003038542
Pacific island small states,,2011,5.407766259
Pacific island small states,,2012,5.385814772
Pacific island small states,,2013,5.639135393
Pacific island small states,,2014,5.780170476
Pakistan,PAK,1995,2.50362972
Pakistan,PAK,1996,2.57494036
Pakistan,PAK,1997,2.56506861
Pakistan,PAK,1998,2.74957751
Pakistan,PAK,1999,2.83211153
Pakistan,PAK,2000,2.78750187
Pakistan,PAK,2001,2.60799747
Pakistan,PAK,2002,2.76317772
Pakistan,PAK,2003,2.60877636
Pakistan,PAK,2004,2.55792322
Pakistan,PAK,2005,2.91358382
Pakistan,PAK,2006,3.40168643
Pakistan,PAK,2007,3.35353968
Pakistan,PAK,2008,3.2590847
Pakistan,PAK,2009,2.93914413
Pakistan,PAK,2010,3.01609686
Pakistan,PAK,2011,3.00636984
Pakistan,PAK,2012,2.75972728
Pakistan,PAK,2013,2.70392397
Pakistan,PAK,2014,2.61391631
Palau,PLW,1995,11.65500289
Palau,PLW,1996,11.69429739
Palau,PLW,1997,11.31534729
Palau,PLW,1998,9.94845085
Palau,PLW,1999,11.28250019
Palau,PLW,2000,9.49786026
Palau,PLW,2001,8.62278913
Palau,PLW,2002,8.41396898
Palau,PLW,2003,8.47729758
Palau,PLW,2004,8.80431634
Palau,PLW,2005,8.21470499
Palau,PLW,2006,8.71445874
Palau,PLW,2007,9.0090566
Palau,PLW,2008,9.0740546
Palau,PLW,2009,9.52643642
Palau,PLW,2010,10.6424429
Palau,PLW,2011,9.29484695
Palau,PLW,2012,9.35998673
Palau,PLW,2013,9.26707342
Palau,PLW,2014,9.02153343
Panama,PAN,1995,7.72062079
Panama,PAN,1996,7.18293088
Panama,PAN,1997,7.1201904
Panama,PAN,1998,7.08621084
Panama,PAN,1999,6.85474368
Panama,PAN,2000,7.76386558
Panama,PAN,2001,7.72136354
Panama,PAN,2002,8.0293993
Panama,PAN,2003,7.60445984
Panama,PAN,2004,8.08643586
Panama,PAN,2005,7.47896823
Panama,PAN,2006,6.99655716
Panama,PAN,2007,6.30662961
Panama,PAN,2008,6.75011236
Panama,PAN,2009,7.56026325
Panama,PAN,2010,8.04716512
Panama,PAN,2011,7.50141666
Panama,PAN,2012,7.24519314
Panama,PAN,2013,8.08587822
Panama,PAN,2014,8.0257236
Papua New Guinea,PNG,1995,2.93218749
Papua New Guinea,PNG,1996,3.0960318
Papua New Guinea,PNG,1997,3.64156441
Papua New Guinea,PNG,1998,3.80894413
Papua New Guinea,PNG,1999,4.09356593
Papua New Guinea,PNG,2000,3.98366886
Papua New Guinea,PNG,2001,6.67581279
Papua New Guinea,PNG,2002,7.68937382
Papua New Guinea,PNG,2003,6.79231045
Papua New Guinea,PNG,2004,8.39248669
Papua New Guinea,PNG,2005,6.41591818
Papua New Guinea,PNG,2006,5.91902791
Papua New Guinea,PNG,2007,4.03723822
Papua New Guinea,PNG,2008,4.05603415
Papua New Guinea,PNG,2009,4.35763089
Papua New Guinea,PNG,2010,4.17576533
Papua New Guinea,PNG,2011,4.94295908
Papua New Guinea,PNG,2012,4.55003511
Papua New Guinea,PNG,2013,4.7785428
Papua New Guinea,PNG,2014,4.26357082
Paraguay,PRY,1995,5.9229547
Paraguay,PRY,1996,5.9372284
Paraguay,PRY,1997,6.19123742
Paraguay,PRY,1998,6.28535175
Paraguay,PRY,1999,6.79445516
Paraguay,PRY,2000,8.10005666
Paraguay,PRY,2001,7.61414476
Paraguay,PRY,2002,6.77142556
Paraguay,PRY,2003,5.98546934
Paraguay,PRY,2004,5.77699347
Paraguay,PRY,2005,6.07399547
Paraguay,PRY,2006,6.42732062
Paraguay,PRY,2007,6.4115059
Paraguay,PRY,2008,7.06394059
Paraguay,PRY,2009,9.13992194
Paraguay,PRY,2010,9.10170096
Paraguay,PRY,2011,9.4235562
Paraguay,PRY,2012,10.33407449
Paraguay,PRY,2013,10.49411979
Paraguay,PRY,2014,9.81442131
Peru,PER,1995,4.46317651
Peru,PER,1996,4.50465932
Peru,PER,1997,4.38337669
Peru,PER,1998,4.55823587
Peru,PER,1999,4.95362369
Peru,PER,2000,4.827757
Peru,PER,2001,4.98481333
Peru,PER,2002,4.93871106
Peru,PER,2003,4.5988428
Peru,PER,2004,4.56192538
Peru,PER,2005,4.71800204
Peru,PER,2006,4.46819608
Peru,PER,2007,4.59945033
Peru,PER,2008,4.72994861
Peru,PER,2009,5.36154745
Peru,PER,2010,5.03167838
Peru,PER,2011,4.92714048
Peru,PER,2012,5.17591754
Peru,PER,2013,5.23182008
Peru,PER,2014,5.47303468
Philippines,PHL,1995,3.44929165
Philippines,PHL,1996,3.54187897
Philippines,PHL,1997,3.61927658
Philippines,PHL,1998,3.19884187
Philippines,PHL,1999,3.23121551
Philippines,PHL,2000,3.2091775
Philippines,PHL,2001,2.9983988
Philippines,PHL,2002,2.79116169
Philippines,PHL,2003,3.24713196
Philippines,PHL,2004,3.22814859
Philippines,PHL,2005,3.9138542
Philippines,PHL,2006,3.95164594
Philippines,PHL,2007,3.94034192
Philippines,PHL,2008,4.04747517
Philippines,PHL,2009,4.41043729
Philippines,PHL,2010,4.37397274
Philippines,PHL,2011,4.28992635
Philippines,PHL,2012,4.45815444
Philippines,PHL,2013,4.55778632
Philippines,PHL,2014,4.7099852
Poland,POL,1995,5.35738635
Poland,POL,1996,5.75666362
Poland,POL,1997,5.53627382
Poland,POL,1998,5.8556039
Poland,POL,1999,5.66978124
Poland,POL,2000,5.50150462
Poland,POL,2001,5.85595692
Poland,POL,2002,6.32075444
Poland,POL,2003,6.2217914
Poland,POL,2004,6.18540158
Poland,POL,2005,6.20353532
Poland,POL,2006,6.1706712
Poland,POL,2007,6.27954647
Poland,POL,2008,6.87653481
Poland,POL,2009,7.12088233
Poland,POL,2010,6.88449165
Poland,POL,2011,6.7023798
Poland,POL,2012,6.61772998
Poland,POL,2013,6.4042609
Poland,POL,2014,6.35024637
Portugal,PRT,1995,7.41933998
Portugal,PRT,1996,7.70057466
Portugal,PRT,1997,7.68818712
Portugal,PRT,1998,7.62507945
Portugal,PRT,1999,7.87096537
Portugal,PRT,2000,9.14137871
Portugal,PRT,2001,9.1032037
Portugal,PRT,2002,9.15465809
Portugal,PRT,2003,9.54101957
Portugal,PRT,2004,9.83769679
Portugal,PRT,2005,9.97647249
Portugal,PRT,2006,9.67265428
Portugal,PRT,2007,9.61953682
Portugal,PRT,2008,9.89868879
Portugal,PRT,2009,10.41844886
Portugal,PRT,2010,10.43672755
Portugal,PRT,2011,10.06864127
Portugal,PRT,2012,9.74360978
Portugal,PRT,2013,9.55334024
Portugal,PRT,2014,9.50107564
Post-demographic dividend,,1995,9.325592848
Post-demographic dividend,,1996,9.449483259
Post-demographic dividend,,1997,9.583828802
Post-demographic dividend,,1998,9.8095075
Post-demographic dividend,,1999,9.889909682
Post-demographic dividend,,2000,10.01073955
Post-demographic dividend,,2001,10.51330288
Post-demographic dividend,,2002,10.94794127
Post-demographic dividend,,2003,11.12858902
Post-demographic dividend,,2004,11.08165469
Post-demographic dividend,,2005,11.21391124
Post-demographic dividend,,2006,11.26748472
Post-demographic dividend,,2007,11.26720443
Post-demographic dividend,,2008,11.53730575
Post-demographic dividend,,2009,12.49405416
Post-demographic dividend,,2010,12.42198758
Post-demographic dividend,,2011,12.39558825
Post-demographic dividend,,2012,12.52847418
Post-demographic dividend,,2013,12.57285039
Post-demographic dividend,,2014,12.70239129
Pre-demographic dividend,,1995,4.235898582
Pre-demographic dividend,,1996,4.232710618
Pre-demographic dividend,,1997,4.250015566
Pre-demographic dividend,,1998,4.499339692
Pre-demographic dividend,,1999,4.400070514
Pre-demographic dividend,,2000,3.813147875
Pre-demographic dividend,,2001,4.268005028
Pre-demographic dividend,,2002,4.017047357
Pre-demographic dividend,,2003,4.631489894
Pre-demographic dividend,,2004,4.898180934
Pre-demographic dividend,,2005,4.589912844
Pre-demographic dividend,,2006,4.413591893
Pre-demographic dividend,,2007,4.515556478
Pre-demographic dividend,,2008,4.662114759
Pre-demographic dividend,,2009,5.165716341
Pre-demographic dividend,,2010,4.508893521
Pre-demographic dividend,,2011,4.408179567
Pre-demographic dividend,,2012,4.575162849
Pre-demographic dividend,,2013,4.911384319
Pre-demographic dividend,,2014,4.76775993
Qatar,QAT,1995,3.70451691
Qatar,QAT,1996,3.69209934
Qatar,QAT,1997,3.14452938
Qatar,QAT,1998,3.40069377
Qatar,QAT,1999,2.90482849
Qatar,QAT,2000,2.17801565
Qatar,QAT,2001,2.55647744
Qatar,QAT,2002,2.71181463
Qatar,QAT,2003,4.14216222
Qatar,QAT,2004,3.60739107
Qatar,QAT,2005,3.01330669
Qatar,QAT,2006,2.58341286
Qatar,QAT,2007,2.31281695
Qatar,QAT,2008,1.87470035
Qatar,QAT,2009,2.63380793
Qatar,QAT,2010,2.09267664
Qatar,QAT,2011,1.92658264
Qatar,QAT,2012,2.15608952
Qatar,QAT,2013,2.14592773
Qatar,QAT,2014,2.18706236
Romania,ROU,1995,3.21659357
Romania,ROU,1996,3.21466899
Romania,ROU,1997,4.1685091
Romania,ROU,1998,3.75124783
Romania,ROU,1999,4.19795255
Romania,ROU,2000,4.32741308
Romania,ROU,2001,4.35687135
Romania,ROU,2002,4.57232682
Romania,ROU,2003,5.29882356
Romania,ROU,2004,5.43201221
Romania,ROU,2005,5.46905767
Romania,ROU,2006,5.05987966
Romania,ROU,2007,5.21089978
Romania,ROU,2008,5.33489757
Romania,ROU,2009,5.55959499
Romania,ROU,2010,5.83283431
Romania,ROU,2011,5.52618204
Romania,ROU,2012,5.47833245
Romania,ROU,2013,5.59558777
Romania,ROU,2014,5.56500913
Russia,RUS,1995,5.3627502
Russia,RUS,1996,5.55091916
Russia,RUS,1997,7.10045413
Russia,RUS,1998,6.61999512
Russia,RUS,1999,5.79575085
Russia,RUS,2000,5.42186816
Russia,RUS,2001,5.67444877
Russia,RUS,2002,5.98934673
Russia,RUS,2003,5.60863706
Russia,RUS,2004,5.18758222
Russia,RUS,2005,5.21198715
Russia,RUS,2006,5.30478653
Russia,RUS,2007,5.37995338
Russia,RUS,2008,6.22459761
Russia,RUS,2009,7.44325087
Russia,RUS,2010,6.83091103
Russia,RUS,2011,6.61180659
Russia,RUS,2012,6.87955814
Russia,RUS,2013,7.09185941
Russia,RUS,2014,7.07040825
Rwanda,RWA,1995,4.267379
Rwanda,RWA,1996,4.43501161
Rwanda,RWA,1997,4.41720949
Rwanda,RWA,1998,5.07816399
Rwanda,RWA,1999,4.57291275
Rwanda,RWA,2000,4.22067539
Rwanda,RWA,2001,4.38001652
Rwanda,RWA,2002,4.17579115
Rwanda,RWA,2003,6.34215334
Rwanda,RWA,2004,6.24465499
Rwanda,RWA,2005,6.83378867
Rwanda,RWA,2006,10.01649788
Rwanda,RWA,2007,8.49068054
Rwanda,RWA,2008,7.66066411
Rwanda,RWA,2009,7.20190506
Rwanda,RWA,2010,7.90988034
Rwanda,RWA,2011,7.71014085
Rwanda,RWA,2012,7.67761838
Rwanda,RWA,2013,7.6883653
Rwanda,RWA,2014,7.53155111
Saint Kitts and Nevis,KNA,1995,5.85433464
Saint Kitts and Nevis,KNA,1996,6.06104992
Saint Kitts and Nevis,KNA,1997,5.64910189
Saint Kitts and Nevis,KNA,1998,5.59305987
Saint Kitts and Nevis,KNA,1999,5.97556059
Saint Kitts and Nevis,KNA,2000,5.31565597
Saint Kitts and Nevis,KNA,2001,4.97210133
Saint Kitts and Nevis,KNA,2002,4.85158469
Saint Kitts and Nevis,KNA,2003,4.94841062
Saint Kitts and Nevis,KNA,2004,4.72913659
Saint Kitts and Nevis,KNA,2005,4.80077315
Saint Kitts and Nevis,KNA,2006,5.45901566
Saint Kitts and Nevis,KNA,2007,5.29182061
Saint Kitts and Nevis,KNA,2008,5.91390479
Saint Kitts and Nevis,KNA,2009,5.00208583
Saint Kitts and Nevis,KNA,2010,5.49998123
Saint Kitts and Nevis,KNA,2011,5.88112635
Saint Kitts and Nevis,KNA,2012,5.78722052
Saint Kitts and Nevis,KNA,2013,6.13575203
Saint Kitts and Nevis,KNA,2014,5.08036532
Saint Lucia,LCA,1995,6.08686468
Saint Lucia,LCA,1996,7.06552219
Saint Lucia,LCA,1997,6.39578175
Saint Lucia,LCA,1998,5.13965062
Saint Lucia,LCA,1999,5.53624275
Saint Lucia,LCA,2000,5.52822822
Saint Lucia,LCA,2001,6.09831345
Saint Lucia,LCA,2002,6.32567716
Saint Lucia,LCA,2003,6.10343642
Saint Lucia,LCA,2004,6.19944529
Saint Lucia,LCA,2005,6.24652588
Saint Lucia,LCA,2006,6.37266722
Saint Lucia,LCA,2007,6.8131974
Saint Lucia,LCA,2008,7.43456753
Saint Lucia,LCA,2009,8.11908183
Saint Lucia,LCA,2010,8.09611928
Saint Lucia,LCA,2011,7.58420617
Saint Lucia,LCA,2012,8.34772855
Saint Lucia,LCA,2013,7.85441263
Saint Lucia,LCA,2014,6.71904145
Saint Vincent and the Grenadines,VCT,1995,6.72311994
Saint Vincent and the Grenadines,VCT,1996,6.7303465
Saint Vincent and the Grenadines,VCT,1997,7.47797437
Saint Vincent and the Grenadines,VCT,1998,6.80509482
Saint Vincent and the Grenadines,VCT,1999,6.46801482
Saint Vincent and the Grenadines,VCT,2000,3.7286133
Saint Vincent and the Grenadines,VCT,2001,3.64487016
Saint Vincent and the Grenadines,VCT,2002,3.93148728
Saint Vincent and the Grenadines,VCT,2003,3.90559599
Saint Vincent and the Grenadines,VCT,2004,3.72254162
Saint Vincent and the Grenadines,VCT,2005,3.65905803
Saint Vincent and the Grenadines,VCT,2006,3.88350892
Saint Vincent and the Grenadines,VCT,2007,3.92014582
Saint Vincent and the Grenadines,VCT,2008,4.69654243
Saint Vincent and the Grenadines,VCT,2009,5.13037013
Saint Vincent and the Grenadines,VCT,2010,4.70791229
Saint Vincent and the Grenadines,VCT,2011,4.99199565
Saint Vincent and the Grenadines,VCT,2012,8.47719837
Saint Vincent and the Grenadines,VCT,2013,5.2086
Saint Vincent and the Grenadines,VCT,2014,8.63023974
Samoa,WSM,1995,4.60886667
Samoa,WSM,1996,4.17497735
Samoa,WSM,1997,4.64260971
Samoa,WSM,1998,5.16712117
Samoa,WSM,1999,5.59621339
Samoa,WSM,2000,5.31099354
Samoa,WSM,2001,5.15897595
Samoa,WSM,2002,5.01272806
Samoa,WSM,2003,4.70708479
Samoa,WSM,2004,4.44716302
Samoa,WSM,2005,4.4674683
Samoa,WSM,2006,4.67689122
Samoa,WSM,2007,5.25092298
Samoa,WSM,2008,4.51961091
Samoa,WSM,2009,5.04306066
Samoa,WSM,2010,5.70478027
Samoa,WSM,2011,5.79833054
Samoa,WSM,2012,5.01570584
Samoa,WSM,2013,6.90784194
Samoa,WSM,2014,7.21510906
San Marino,SMR,1995,5.30852454
San Marino,SMR,1996,5.1019538
San Marino,SMR,1997,4.79610226
San Marino,SMR,1998,4.71353812
San Marino,SMR,1999,4.72906653
San Marino,SMR,2000,4.81420422
San Marino,SMR,2001,4.70998606
San Marino,SMR,2002,4.67493655
San Marino,SMR,2003,4.25442586
San Marino,SMR,2004,4.17137933
San Marino,SMR,2005,4.08634536
San Marino,SMR,2006,3.85005378
San Marino,SMR,2007,3.87083755
San Marino,SMR,2008,3.94560934
San Marino,SMR,2009,4.57007456
San Marino,SMR,2010,5.01688731
San Marino,SMR,2011,5.71712772
San Marino,SMR,2012,6.28075946
San Marino,SMR,2013,6.04907828
San Marino,SMR,2014,6.12906486
Sao Tome and Principe,STP,1995,7.64273595
Sao Tome and Principe,STP,1996,6.80703133
Sao Tome and Principe,STP,1997,8.31632977
Sao Tome and Principe,STP,1998,7.35704318
Sao Tome and Principe,STP,1999,8.49001082
Sao Tome and Principe,STP,2000,8.8589867
Sao Tome and Principe,STP,2001,10.27774064
Sao Tome and Principe,STP,2002,10.2099232
Sao Tome and Principe,STP,2003,11.1180666
Sao Tome and Principe,STP,2004,9.93609895
Sao Tome and Principe,STP,2005,10.03778171
Sao Tome and Principe,STP,2006,7.84085755
Sao Tome and Principe,STP,2007,7.43878143
Sao Tome and Principe,STP,2008,5.66213472
Sao Tome and Principe,STP,2009,6.6527575
Sao Tome and Principe,STP,2010,5.24180131
Sao Tome and Principe,STP,2011,5.44255012
Sao Tome and Principe,STP,2012,8.60347569
Sao Tome and Principe,STP,2013,9.76121412
Sao Tome and Principe,STP,2014,8.35346606
Saudi Arabia,SAU,1995,2.93255211
Saudi Arabia,SAU,1996,2.93290445
Saudi Arabia,SAU,1997,3.02890481
Saudi Arabia,SAU,1998,3.31272189
Saudi Arabia,SAU,1999,4.09906153
Saudi Arabia,SAU,2000,4.23538585
Saudi Arabia,SAU,2001,4.48913476
Saudi Arabia,SAU,2002,4.28214226
Saudi Arabia,SAU,2003,4.01870035
Saudi Arabia,SAU,2004,3.5839803
Saudi Arabia,SAU,2005,3.4187517
Saudi Arabia,SAU,2006,3.54970413
Saudi Arabia,SAU,2007,3.48745137
Saudi Arabia,SAU,2008,2.87015066
Saudi Arabia,SAU,2009,4.08644859
Saudi Arabia,SAU,2010,3.49296819
Saudi Arabia,SAU,2011,3.56571403
Saudi Arabia,SAU,2012,3.86342862
Saudi Arabia,SAU,2013,4.24536506
Saudi Arabia,SAU,2014,4.68408481
Senegal,SEN,1995,3.93436113
Senegal,SEN,1996,4.08425752
Senegal,SEN,1997,3.93954329
Senegal,SEN,1998,3.96613493
Senegal,SEN,1999,4.48967969
Senegal,SEN,2000,4.63151098
Senegal,SEN,2001,4.97866497
Senegal,SEN,2002,5.06418774
Senegal,SEN,2003,5.39898595
Senegal,SEN,2004,5.68098678
Senegal,SEN,2005,5.35462391
Senegal,SEN,2006,5.4435566
Senegal,SEN,2007,4.72179722
Senegal,SEN,2008,4.93514752
Senegal,SEN,2009,4.8075596
Senegal,SEN,2010,4.62149151
Senegal,SEN,2011,4.41690185
Senegal,SEN,2012,4.31118548
Senegal,SEN,2013,4.51055336
Senegal,SEN,2014,4.66497201
Serbia,SRB,1995,6.50632514
Serbia,SRB,1996,6.50568356
Serbia,SRB,1997,6.51275954
Serbia,SRB,1998,6.56727432
Serbia,SRB,1999,6.60692489
Serbia,SRB,2000,6.52558279
Serbia,SRB,2001,6.88541032
Serbia,SRB,2002,8.09016738
Serbia,SRB,2003,8.12851142
Serbia,SRB,2004,8.23883414
Serbia,SRB,2005,8.70154867
Serbia,SRB,2006,8.99165287
Serbia,SRB,2007,10.01500892
Serbia,SRB,2008,10.04801464
Serbia,SRB,2009,9.90349052
Serbia,SRB,2010,10.08880983
Serbia,SRB,2011,9.72329413
Serbia,SRB,2012,9.89106186
Serbia,SRB,2013,10.11558912
Serbia,SRB,2014,10.36881192
Seychelles,SYC,1995,4.97004056
Seychelles,SYC,1996,5.07147834
Seychelles,SYC,1997,5.57218446
Seychelles,SYC,1998,4.94515287
Seychelles,SYC,1999,4.95764546
Seychelles,SYC,2000,4.61725436
Seychelles,SYC,2001,4.45396104
Seychelles,SYC,2002,4.20887554
Seychelles,SYC,2003,4.64427154
Seychelles,SYC,2004,4.17338663
Seychelles,SYC,2005,3.90758098
Seychelles,SYC,2006,3.72881909
Seychelles,SYC,2007,3.30160537
Seychelles,SYC,2008,2.6367745
Seychelles,SYC,2009,2.63590921
Seychelles,SYC,2010,3.59400354
Seychelles,SYC,2011,3.38253043
Seychelles,SYC,2012,4.08323853
Seychelles,SYC,2013,3.57848961
Seychelles,SYC,2014,3.36981689
Sierra Leone,SLE,1995,11.3546981
Sierra Leone,SLE,1996,11.08218521
Sierra Leone,SLE,1997,11.59462938
Sierra Leone,SLE,1998,10.92184125
Sierra Leone,SLE,1999,12.15877898
Sierra Leone,SLE,2000,13.63256032
Sierra Leone,SLE,2001,11.8345473
Sierra Leone,SLE,2002,11.96043347
Sierra Leone,SLE,2003,11.69246204
Sierra Leone,SLE,2004,11.66277367
Sierra Leone,SLE,2005,12.24678485
Sierra Leone,SLE,2006,10.67789154
Sierra Leone,SLE,2007,10.1169446
Sierra Leone,SLE,2008,10.29246346
Sierra Leone,SLE,2009,13.13439594
Sierra Leone,SLE,2010,10.31962615
Sierra Leone,SLE,2011,11.98498249
Sierra Leone,SLE,2012,11.23526449
Sierra Leone,SLE,2013,11.58532421
Sierra Leone,SLE,2014,11.08990224
Singapore,SGP,1995,2.93538792
Singapore,SGP,1996,2.85809099
Singapore,SGP,1997,2.79514503
Singapore,SGP,1998,3.10455417
Singapore,SGP,1999,2.81540411
Singapore,SGP,2000,2.70571076
Singapore,SGP,2001,2.3688879
Singapore,SGP,2002,2.84341036
Singapore,SGP,2003,3.62564229
Singapore,SGP,2004,3.17368627
Singapore,SGP,2005,3.7437377
Singapore,SGP,2006,3.65590488
Singapore,SGP,2007,3.45830706
Singapore,SGP,2008,3.91164646
Singapore,SGP,2009,4.27307275
Singapore,SGP,2010,3.95624757
Singapore,SGP,2011,3.93233174
Singapore,SGP,2012,4.22285179
Singapore,SGP,2013,4.52704132
Singapore,SGP,2014,4.92279194
Slovakia,SVK,1995,6.06387494
Slovakia,SVK,1996,6.43714522
Slovakia,SVK,1997,5.78420775
Slovakia,SVK,1998,5.65522564
Slovakia,SVK,1999,5.75379503
Slovakia,SVK,2000,5.49890785
Slovakia,SVK,2001,5.50461613
Slovakia,SVK,2002,5.62930119
Slovakia,SVK,2003,5.81850192
Slovakia,SVK,2004,7.21098106
Slovakia,SVK,2005,7.04485118
Slovakia,SVK,2006,7.34768079
Slovakia,SVK,2007,7.75529417
Slovakia,SVK,2008,8.0208281
Slovakia,SVK,2009,9.15199445
Slovakia,SVK,2010,8.50861648
Slovakia,SVK,2011,7.95706221
Slovakia,SVK,2012,8.14522055
Slovakia,SVK,2013,8.00422824
Slovakia,SVK,2014,8.05404755
Slovenia,SVN,1995,7.45548818
Slovenia,SVN,1996,7.63863893
Slovenia,SVN,1997,7.75623737
Slovenia,SVN,1998,7.81007276
Slovenia,SVN,1999,7.79898595
Slovenia,SVN,2000,8.26416456
Slovenia,SVN,2001,8.56912386
Slovenia,SVN,2002,8.62002958
Slovenia,SVN,2003,8.76732486
Slovenia,SVN,2004,8.46523245
Slovenia,SVN,2005,8.49586245
Slovenia,SVN,2006,8.41787985
Slovenia,SVN,2007,7.98322378
Slovenia,SVN,2008,8.46557039
Slovenia,SVN,2009,9.37871271
Slovenia,SVN,2010,9.06859821
Slovenia,SVN,2011,9.0771408
Slovenia,SVN,2012,9.36723766
Slovenia,SVN,2013,9.29292245
Slovenia,SVN,2014,9.23388628
Small states,,1995,4.959458129
Small states,,1996,5.06326888
Small states,,1997,5.073875137
Small states,,1998,5.256582488
Small states,,1999,5.104735303
Small states,,2000,4.812227503
Small states,,2001,4.884292015
Small states,,2002,5.075245338
Small states,,2003,5.330105641
Small states,,2004,5.194610432
Small states,,2005,4.906567823
Small states,,2006,4.597833028
Small states,,2007,4.497414028
Small states,,2008,4.265465308
Small states,,2009,5.108967573
Small states,,2010,4.571895849
Small states,,2011,4.265236539
Small states,,2012,4.444819685
Small states,,2013,4.485397181
Small states,,2014,4.507203565
Solomon Islands,SLB,1995,3.24687359
Solomon Islands,SLB,1996,3.01942846
Solomon Islands,SLB,1997,3.28349045
Solomon Islands,SLB,1998,3.5283561
Solomon Islands,SLB,1999,3.80478354
Solomon Islands,SLB,2000,4.56048235
Solomon Islands,SLB,2001,6.4432523
Solomon Islands,SLB,2002,6.09018055
Solomon Islands,SLB,2003,6.00398587
Solomon Islands,SLB,2004,5.64064416
Solomon Islands,SLB,2005,7.83435685
Solomon Islands,SLB,2006,6.6640115
Solomon Islands,SLB,2007,6.42147919
Solomon Islands,SLB,2008,5.97100604
Solomon Islands,SLB,2009,7.92179206
Solomon Islands,SLB,2010,7.46783612
Solomon Islands,SLB,2011,5.08309566
Solomon Islands,SLB,2012,5.48036406
Solomon Islands,SLB,2013,5.42167209
Solomon Islands,SLB,2014,5.05106254
South Africa,ZAF,1995,8.28382429
South Africa,ZAF,1996,8.47180399
South Africa,ZAF,1997,8.58889772
South Africa,ZAF,1998,8.48517314
South Africa,ZAF,1999,8.50569496
South Africa,ZAF,2000,8.06849287
South Africa,ZAF,2001,8.31481812
South Africa,ZAF,2002,8.08571189
South Africa,ZAF,2003,8.25734824
South Africa,ZAF,2004,7.92666753
South Africa,ZAF,2005,7.76856193
South Africa,ZAF,2006,7.56779385
South Africa,ZAF,2007,7.53305757
South Africa,ZAF,2008,7.74694468
South Africa,ZAF,2009,8.38628739
South Africa,ZAF,2010,8.5041601
South Africa,ZAF,2011,8.61362713
South Africa,ZAF,2012,8.79451471
